Date,Open,High,Low,Close,Adj Close,Volume
1999-08-01,12.625000,12.875000,10.583333,11.125000,10.161882,76470750
1999-09-01,11.166667,11.416667,9.583333,10.125000,9.251139,94720050
1999-10-01,10.125000,12.541667,10.000000,11.208333,10.240973,66777600
1999-11-01,11.083333,11.791667,10.750000,10.875000,9.936402,51064350
1999-12-01,10.875000,11.458333,10.208333,10.750000,9.822194,64364100
2000-01-01,10.791667,11.333333,10.000000,10.625000,9.711503,67578000
2000-02-01,10.583333,12.291667,10.083333,12.291667,11.234873,83106300
2000-03-01,12.166667,13.916667,10.625000,13.875000,12.682076,64569150
2000-04-01,13.750000,14.958333,12.666667,14.458333,13.219561,54729600
2000-05-01,14.458333,15.166667,12.708333,12.791667,11.695693,41172150
2000-06-01,12.791667,14.125000,12.375000,12.625000,11.546850,37833150
2000-07-01,12.833333,15.833333,12.750000,15.750000,14.404984,62228700
2000-08-01,15.625000,16.666668,14.750000,15.093750,13.804771,50087400
2000-09-01,15.000000,16.333332,14.416667,16.166668,14.786064,47660100
2000-10-01,16.166668,19.208332,15.750000,19.000000,17.382042,59991300
2000-11-01,19.000000,21.833332,18.708332,21.041668,19.249851,55213500
2000-12-01,20.875000,23.326668,19.233334,22.353333,20.449816,65260650
2001-01-01,22.166668,23.320000,18.786667,20.886667,19.111767,91721100
2001-02-01,21.400000,21.626667,18.500000,18.600000,17.019409,50327950
2001-03-01,18.590000,19.120001,16.000000,17.750000,16.245874,69165300
2001-04-01,18.000000,19.610001,17.100000,18.209999,16.666899,45028000
2001-05-01,18.110001,20.030001,17.760000,20.000000,18.305212,50248400
2001-06-01,19.520000,19.530001,16.549999,18.490000,16.923170,57152300
2001-07-01,18.549999,20.209999,18.090000,20.010000,18.317217,37858200
2001-08-01,19.900000,20.230000,17.520000,17.889999,16.376553,32703700
2001-09-01,17.889999,18.809999,11.250000,14.840000,13.588405,129815700
2001-10-01,14.900000,16.600000,14.520000,15.900000,14.559005,79858300
2001-11-01,15.900000,18.969999,15.550000,18.750000,17.168636,65628900
2001-12-01,18.700001,20.000000,18.190001,18.480000,16.921404,46213500
2002-01-01,18.250000,19.240000,17.170000,18.940001,17.347244,53487800
2002-02-01,18.600000,22.000000,18.270000,21.110001,19.334757,55260300
2002-03-01,21.049999,21.410000,18.250000,19.350000,17.726906,57652900
2002-04-01,18.850000,19.350000,17.820000,18.209999,16.682535,55508600
2002-05-01,18.139999,18.690001,16.440001,17.030001,15.601506,53102800
2002-06-01,17.100000,17.480000,14.850000,16.160000,14.804489,55229800
2002-07-01,16.059999,16.080000,10.900000,13.810000,12.655323,85961300
2002-08-01,13.630000,15.300000,11.110000,14.210000,13.021882,87066200
2002-09-01,13.970000,14.500000,12.290000,13.060000,11.972152,52986300
2002-10-01,13.090000,15.850000,11.230000,14.600000,13.383878,71118400
2002-11-01,14.050000,16.700001,14.030000,16.700001,15.308957,45378900
2002-12-01,16.500000,16.629999,13.630000,13.900000,12.742189,45347400
2003-01-01,14.100000,14.560000,12.250000,13.050000,11.966663,44635300
2003-02-01,13.050000,13.200000,11.720000,12.070000,11.068023,39898100
2003-03-01,12.160000,15.330000,12.160000,14.360000,13.167918,60262100
2003-04-01,14.370000,16.110001,14.090000,15.960000,14.640924,47788300
2003-05-01,15.910000,16.900000,14.960000,16.070000,14.741834,49200900
2003-06-01,16.200001,17.700001,16.010000,17.200001,15.778436,54648500
2003-07-01,17.100000,18.250000,16.200001,16.410000,15.058414,56945000
2003-08-01,16.299999,17.500000,15.860000,17.090000,15.682410,43256100
2003-09-01,16.770000,18.990000,16.770000,17.700001,16.246969,62776500
2003-10-01,17.700001,19.690001,17.650000,19.400000,17.807419,59090300
2003-11-01,19.250000,19.379999,16.660000,17.980000,16.503990,42935700
2003-12-01,18.120001,18.570000,15.300000,16.139999,14.815035,77404700
2004-01-01,16.219999,16.600000,14.800000,14.950000,13.726559,103678200
2004-02-01,14.950000,15.040000,13.810000,13.810000,12.679849,70150400
2004-03-01,14.000000,14.530000,12.880000,14.210000,13.047118,132823600
2004-04-01,14.250000,15.300000,14.150000,14.280000,13.116081,80531500
2004-05-01,14.250000,15.950000,13.560000,15.510000,14.245827,65944900
2004-06-01,15.400000,17.059999,15.000000,16.770000,15.403130,70585200
2004-07-01,16.629999,16.850000,13.740000,14.470000,13.294872,65616100
2004-08-01,14.260000,15.460000,13.180000,14.820000,13.616447,70588600
2004-09-01,14.750000,15.000000,13.190000,13.620000,12.518106,66866600
2004-10-01,13.620000,15.820000,13.450000,15.770000,14.494164,74469400
2004-11-01,15.590000,16.260000,15.110000,15.730000,14.457402,61608900
2004-12-01,15.760000,16.750000,15.410000,16.280001,14.962911,63146500
2005-01-01,16.340000,16.450001,13.600000,14.480000,13.312727,80178000
2005-02-01,14.480000,15.000000,13.710000,13.850000,12.733516,58002700
2005-03-01,13.840000,14.830000,13.840000,14.240000,13.092078,90121200
2005-04-01,14.240000,15.400000,13.850000,14.880000,13.685422,97312600
2005-05-01,14.880000,15.500000,14.360000,14.550000,13.381921,87126800
2005-06-01,14.550000,14.920000,13.560000,13.930000,12.811694,72801600
2005-07-01,13.920000,14.750000,13.320000,14.190000,13.055271,70396700
2005-08-01,14.210000,14.400000,13.060000,13.320000,12.254844,63509400
2005-09-01,13.320000,14.850000,13.050000,14.850000,13.667580,101185400
2005-10-01,14.780000,16.090000,14.540000,16.010000,14.735217,98204600
2005-11-01,16.000000,16.750000,15.890000,16.500000,15.186202,70744500
2005-12-01,16.500000,16.950001,16.090000,16.430000,15.121778,59028400
2006-01-01,16.370001,17.260000,15.510000,16.459999,15.153949,83020300
2006-02-01,16.340000,16.930000,16.030001,16.770000,15.439353,65582700
2006-03-01,16.700001,18.100000,16.690001,17.990000,16.567463,83782400
2006-04-01,17.990000,18.200001,15.900000,16.219999,14.937425,88123800
2006-05-01,16.260000,16.920000,15.280000,16.100000,14.826920,67471800
2006-06-01,16.139999,16.559999,15.100000,16.370001,15.075563,69504000
2006-07-01,16.410000,18.200001,15.660000,17.990000,16.572733,102453500
2006-08-01,17.980000,18.090000,16.090000,17.320000,15.955518,93882800
2006-09-01,17.430000,17.510000,16.230000,16.660000,15.351954,112625600
2006-10-01,16.770000,17.030001,14.940000,15.030000,13.849929,136953200
2006-11-01,15.020000,16.330000,14.610000,15.710000,14.476544,186382400
2006-12-01,15.600000,16.030001,15.180000,15.320000,14.117163,120245100
2007-01-01,15.460000,16.580000,14.950000,15.100000,13.918868,183489900
2007-02-01,15.120000,16.139999,15.000000,15.120000,13.937305,144376700
2007-03-01,15.050000,15.590000,14.500000,14.700000,13.554572,163133500
2007-04-01,14.750000,15.900000,14.210000,14.350000,13.231846,208362600
2007-05-01,14.320000,14.820000,14.140000,14.310000,13.194963,169527500
2007-06-01,14.380000,15.150000,14.030000,14.910000,13.748210,185404700
2007-07-01,14.840000,16.570000,14.840000,15.660000,14.444830,200696500
2007-08-01,15.580000,16.959999,14.660000,15.110000,13.937509,171291700
2007-09-01,15.110000,15.410000,14.210000,14.800000,13.656049,112361700
2007-10-01,14.650000,15.060000,13.700000,14.210000,13.111651,106173100
2007-11-01,14.020000,14.800000,12.890000,14.150000,13.056287,134056400
